Ticker,Signal Date,Buy Date,Buy Price,%BelowSMA100_at_Buy,Sell Date,Sell Price,%Gain,Cost_bps,Slippage_bps,Net%Gain,HoldingDays,ExitReason,RSI14_at_Signal,IBS_at_Signal,RV20_at_Signal,Breadth_at_Signal,Slope_at_Signal,Votes_At_Entry
XYZ,2022-05-11,2022-05-12,68.790001,43.9459,2022-06-13,62.759998,-8.7658,10,5,-9.0395,21,ATR_Trailing,28.03,0.06,1.02,0.302,-0.903985,4
ZBRA,2022-05-11,2022-05-12,311.98999,30.8966,2022-06-10,305.350006,-2.1283,10,5,-2.4219,20,ATR_Trailing,24.743,0.012,0.409,0.302,-2.240448,5
F,2022-05-12,2022-05-13,10.188044,27.6836,2022-06-13,9.34168,-8.3074,10,5,-8.5825,20,ATR_Trailing,25.663,0.446,0.391,0.3,-0.039855,5
EXPE,2022-05-16,2022-05-17,126.352067,29.8381,2022-06-10,114.644699,-9.2657,10,5,-9.5379,17,ATR_Trailing,24.474,0.135,0.679,0.342,-0.058654,5
ABNB,2022-05-18,2022-05-19,108.18,30.8716,2022-06-13,98.93,-8.5506,10,5,-8.8249,16,ATR_Trailing,29.299,0.044,0.778,0.292,-0.344333,5
NCLH,2022-05-24,2022-05-25,13.18,33.8559,2022-06-10,13.16,-0.1517,10,5,-0.4513,11,MACD_DownCross,27.637,0.066,0.857,0.314,-0.040758,4
RCL,2022-05-24,2022-05-25,48.585002,35.9136,2022-06-10,45.251705,-6.8608,10,5,-7.1402,11,ATR_Trailing,22.053,0.105,0.714,0.314,-0.093409,5
TGT,2022-05-24,2022-05-25,136.838139,30.5627,2022-06-13,131.892502,-3.6142,10,5,-3.9034,12,ATR_Trailing,18.033,0.675,1.015,0.314,-0.159519,4
TSLA,2022-05-24,2022-05-25,207.949997,32.2874,2022-06-27,244.919998,17.7783,10,5,17.425,21,TimeStop,29.203,0.228,0.766,0.314,-0.684039,3
CZR,2022-05-31,2022-06-01,50.490002,30.1894,2022-06-13,39.639999,-21.4894,10,5,-21.7249,8,ATR_Trailing,41.69,0.192,0.935,0.376,-0.398899,5
ALGN,2022-06-01,2022-06-02,266.76001,36.1474,2022-06-13,244.009995,-8.5283,10,5,-8.8027,7,ATR_Trailing,35.526,0.085,0.553,0.348,-3.607376,6
CCL,2022-06-10,2022-06-13,10.53,41.3981,2022-06-16,8.75,-16.9041,10,5,-17.1534,3,ATR_Initial,30.579,0.01,0.855,0.266,-0.080425,5
DASH,2022-06-10,2022-06-13,58.57,37.0073,2022-06-13,58.380001,-0.3244,10,5,-0.6234,0,MACD_DownCross,39.737,0.172,1.072,0.266,-0.720125,4
WBD,2022-06-10,2022-06-13,14.44,38.7837,2022-07-14,13.63,-5.6094,10,5,-5.8926,21,TimeStop,32.273,0.069,0.673,0.266,-0.087236,3
WDAY,2022-06-10,2022-06-13,145.149994,32.2058,2022-06-14,139.380005,-3.9752,10,5,-4.2633,1,MACD_DownCross,33.264,0.501,0.574,0.266,-1.000731,5
BA,2022-06-13,2022-06-14,116.650002,32.8306,2022-07-15,147.740005,26.6524,10,5,26.2724,21,TimeStop,32.169,0.189,0.656,0.199,-0.803824,4
COIN,2022-06-13,2022-06-14,52.5,63.9751,2022-07-15,53.790001,2.4571,10,5,2.1498,21,TimeStop,31.902,0.724,1.249,0.199,-1.7436,3
DDOG,2022-06-13,2022-06-14,87.449997,32.8407,2022-06-14,87.110001,-0.3888,10,5,-0.6876,0,MACD_DownCross,37.405,0.048,1.018,0.199,-0.594014,2
EXPE,2022-06-13,2022-06-14,106.242459,37.2847,2022-06-14,101.473892,-4.4884,10,5,-4.7749,0,MACD_DownCross,28.113,0.099,0.636,0.199,-0.545609,4
NCLH,2022-06-13,2022-06-14,11.83,37.7467,2022-07-15,11.8,-0.2536,10,5,-0.5528,21,TimeStop,28.652,0.098,0.956,0.199,-0.067093,3
PLTR,2022-06-13,2022-06-14,7.735,31.8346,2022-07-14,8.9,15.0614,10,5,14.7162,20,MACD_DownCross,37.723,0.28,0.728,0.199,-0.088619,4
RCL,2022-06-13,2022-06-14,41.433749,42.662,2022-06-16,34.77705,-16.0659,10,5,-16.3177,2,ATR_Initial,23.832,0.115,0.819,0.199,-0.248117,5
UBER,2022-06-13,2022-06-14,21.719999,30.1421,2022-06-16,20.469999,-5.7551,10,5,-6.0378,2,MACD_DownCross,36.905,0.183,0.741,0.199,-0.189867,3
